CODE,GROUP,DESC,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018
papr_us,OECD,U.S. (50 States),11.59 ,11.67 ,11.83 ,12.17 ,12.11 ,12.11 ,12.46 ,12.59 ,12.88 ,12.82 ,13.06 ,13.09 ,13.04 ,13.09 ,13.31 ,13.90 ,13.85 ,14.26 ,14.35 ,14.44 ,14.53 ,14.73 ,14.90 ,15.13 ,14.75 ,14.97 ,15.06 ,15.33 ,15.18 ,15.03 ,15.20 ,15.20 ,15.20 ,15.17 ,15.22 ,15.10 ,14.92 ,14.82 ,15.01 ,14.79 ,14.96 ,14.79 ,14.83 ,14.65 ,14.45 ,14.73 ,14.96 ,14.69 ,14.70 ,15.08 ,15.28 ,15.21 ,15.40 ,15.41 ,15.60 ,15.44 ,15.49 ,15.96 ,16.21 ,16.25 ,16.25 ,16.33 ,16.48 ,16.53 ,16.67 ,16.61 ,16.68 ,16.60 ,16.52 ,16.73 ,17.01 ,17.05 
papr_ca,OECD,Canada,4.12 ,4.03 ,4.19 ,3.99 ,3.72 ,3.88 ,4.04 ,4.21 ,4.07 ,4.06 ,4.25 ,4.33 ,4.38 ,4.41 ,4.47 ,4.34 ,4.18 ,4.30 ,4.36 ,4.30 ,4.33 ,4.52 ,4.52 ,4.63 ,4.70 ,4.74 ,4.63 ,4.30 ,4.00 ,4.20 ,4.62 ,4.76 ,4.30 ,4.42 ,4.69 ,4.77 ,4.81 ,4.73 ,4.65 ,4.32 ,3.68 ,3.98 ,4.60 ,4.74 ,4.75 ,4.81 ,5.13 ,4.92 ,4.93 ,5.13 ,4.61 ,4.41 ,4.54 ,4.67 ,4.71 ,4.85 ,4.82 ,4.83 ,4.83 ,4.81 ,4.83 ,4.87 ,4.84 ,4.86 ,4.86 ,4.89 ,4.89 ,4.94 ,5.00 ,5.01 ,5.04 ,5.02 
papr_mx,OECD,Mexico,2.96 ,2.95 ,2.90 ,2.90 ,2.89 ,2.91 ,2.88 ,2.92 ,2.92 ,2.93 ,2.91 ,2.92 ,2.89 ,2.90 ,2.88 ,2.87 ,2.89 ,2.83 ,2.77 ,2.81 ,2.78 ,2.75 ,2.74 ,2.74 ,2.64 ,2.71 ,2.69 ,2.55 ,2.58 ,2.61 ,2.64 ,2.62 ,2.62 ,2.63 ,2.61 ,2.61 ,2.61 ,2.55 ,2.54 ,2.51 ,2.51 ,2.53 ,2.51 ,2.50 ,2.45 ,2.42 ,2.40 ,2.36 ,2.35 ,2.36 ,2.36 ,2.34 ,2.34 ,2.33 ,2.29 ,2.29 ,2.28 ,2.27 ,2.27 ,2.26 ,2.26 ,2.25 ,2.25 ,2.25 ,2.24 ,2.24 ,2.23 ,2.34 ,2.34 ,2.34 ,2.33 ,2.33 
papr_otheroecd,OECD,Other OECD,4.40 ,4.40 ,4.38 ,4.49 ,4.52 ,4.27 ,4.57 ,4.24 ,4.03 ,4.21 ,4.45 ,4.61 ,4.54 ,4.68 ,4.65 ,4.55 ,4.31 ,4.27 ,4.42 ,4.10 ,4.32 ,4.53 ,4.55 ,4.63 ,4.55 ,4.45 ,4.46 ,4.61 ,4.61 ,4.59 ,4.59 ,4.50 ,4.47 ,4.68 ,4.74 ,4.79 ,4.76 ,4.75 ,4.70 ,4.66 ,4.56 ,4.34 ,4.76 ,4.47 ,4.12 ,4.60 ,4.82 ,4.68 ,4.66 ,4.70 ,4.77 ,4.67 ,4.55 ,4.55 ,4.64 ,4.57 ,4.34 ,4.80 ,4.81 ,4.81 ,4.81 ,4.83 ,4.83 ,4.83 ,4.70 ,4.70 ,4.78 ,4.52 ,4.36 ,4.76 ,4.75 ,4.76 
copr_opec,Non-OECD,OPEC Crude Oil Portion,30.40 ,30.28 ,30.44 ,30.89 ,30.89 ,30.78 ,30.91 ,30.95 ,30.15 ,30.12 ,29.63 ,29.80 ,30.35 ,30.49 ,30.03 ,29.85 ,30.15 ,30.14 ,30.37 ,30.65 ,30.87 ,31.18 ,30.63 ,30.91 ,30.49 ,30.38 ,31.20 ,31.39 ,31.64 ,32.09 ,32.26 ,32.04 ,32.21 ,32.01 ,32.14 ,32.11 ,32.45 ,32.06 ,32.20 ,32.32 ,32.34 ,32.76 ,32.84 ,32.71 ,32.75 ,33.09 ,33.44 ,33.27 ,32.29 ,32.16 ,31.77 ,31.87 ,32.33 ,32.61 ,32.92 ,32.77 ,32.69 ,32.80 ,32.83 ,32.78 ,32.64 ,32.84 ,32.78 ,32.91 ,32.95 ,32.93 ,33.27 ,33.09 ,33.10 ,33.15 ,33.16 ,33.01 
opec_nc,Non-OECD,OPEC Other Liquids (b),6.43 ,6.49 ,6.49 ,6.48 ,6.45 ,6.44 ,6.47 ,6.37 ,6.41 ,6.50 ,6.50 ,6.50 ,6.42 ,6.42 ,6.42 ,6.39 ,6.39 ,6.35 ,6.37 ,6.38 ,6.48 ,6.52 ,6.49 ,6.48 ,6.62 ,6.61 ,6.54 ,6.56 ,6.56 ,6.56 ,6.49 ,6.50 ,6.62 ,6.55 ,6.57 ,6.58 ,6.47 ,6.54 ,6.56 ,6.57 ,6.50 ,6.52 ,6.59 ,6.63 ,6.59 ,6.58 ,6.64 ,6.48 ,6.65 ,6.64 ,7.00 ,7.01 ,7.01 ,6.99 ,6.99 ,7.01 ,7.06 ,7.08 ,7.09 ,7.10 ,7.08 ,7.09 ,7.10 ,7.11 ,7.12 ,7.14 ,7.15 ,7.16 ,7.18 ,7.19 ,7.20 ,7.22 
papr_fsu,Non-OECD,Former Soviet Union,13.74 ,13.75 ,13.73 ,13.71 ,13.62 ,13.69 ,13.80 ,13.60 ,13.76 ,13.87 ,13.97 ,13.98 ,13.92 ,13.94 ,13.81 ,13.84 ,13.80 ,13.85 ,13.83 ,13.92 ,13.79 ,13.87 ,13.96 ,14.12 ,14.17 ,14.09 ,14.28 ,13.97 ,14.13 ,13.94 ,14.06 ,14.03 ,13.94 ,14.06 ,14.20 ,14.25 ,14.31 ,14.33 ,14.37 ,14.13 ,14.02 ,14.16 ,13.93 ,13.61 ,14.22 ,14.51 ,14.49 ,14.56 ,14.46 ,14.45 ,14.39 ,14.36 ,14.27 ,14.33 ,14.35 ,14.17 ,14.23 ,14.26 ,14.29 ,14.39 ,14.40 ,14.43 ,14.43 ,14.42 ,14.40 ,14.43 ,14.33 ,14.25 ,14.41 ,14.45 ,14.45 ,14.49 
papr_ch,Non-OECD,China,4.89 ,4.85 ,4.88 ,4.87 ,4.90 ,4.98 ,4.76 ,4.81 ,4.86 ,4.95 ,4.96 ,4.95 ,4.99 ,5.02 ,4.97 ,4.95 ,5.00 ,5.08 ,4.90 ,4.94 ,5.01 ,5.06 ,5.13 ,5.15 ,5.11 ,5.09 ,5.13 ,5.13 ,5.14 ,5.28 ,5.14 ,5.15 ,5.19 ,5.13 ,5.17 ,5.15 ,5.05 ,5.02 ,4.98 ,4.92 ,4.86 ,4.92 ,4.83 ,4.76 ,4.77 ,4.67 ,4.80 ,4.84 ,4.77 ,4.85 ,4.83 ,4.82 ,4.76 ,4.88 ,4.77 ,4.78 ,4.80 ,4.83 ,4.83 ,4.79 ,4.72 ,4.71 ,4.71 ,4.71 ,4.74 ,4.77 ,4.71 ,4.75 ,4.77 ,4.78 ,4.80 ,4.76 
papr_other_nonoecd,Non-OECD,Other Non-OECD,11.66 ,11.54 ,11.36 ,11.58 ,12.12 ,12.28 ,12.27 ,12.36 ,12.25 ,12.20 ,12.30 ,11.94 ,11.54 ,11.65 ,11.56 ,11.79 ,12.21 ,12.50 ,12.37 ,12.60 ,12.57 ,12.75 ,12.46 ,12.29 ,12.11 ,12.04 ,12.06 ,12.26 ,12.45 ,12.64 ,12.49 ,12.73 ,12.59 ,12.69 ,12.36 ,12.34 ,11.94 ,11.95 ,11.78 ,12.26 ,12.64 ,12.61 ,12.72 ,12.59 ,12.73 ,12.58 ,12.45 ,12.19 ,12.02 ,11.98 ,11.82 ,12.49 ,12.60 ,12.55 ,12.75 ,12.74 ,12.83 ,12.63 ,12.49 ,12.24 ,12.09 ,12.04 ,11.89 ,12.38 ,12.92 ,12.60 ,12.74 ,12.72 ,12.81 ,12.58 ,12.44 ,12.20 
